?uad_sigla;esc_codigo;esc_nome
FO;19721;EMEF - JOSE CARLOS DIAS, PROF.
FO;91804;EMEF - PAULO NOGUEIRA FILHO
FO;94161;EMEF - NILO PECANHA, PRES.
FO;94170;EMEF - PLINIO AYROSA
FO;94188;EMEF - JOANINHA GRASSI FAGUNDES, PROFA.
FO;94196;EMEF - ERICO VERISSIMO
FO;94200;EMEF - MILTOM CAMPOS, SEN.
FO;94218;EMEF - ANDRE RODRIGUES DE ALCKMIN, PROF.
FO;94226;EMEF - RAUL FERNANDES, EMB.
FO;94234;EMEF - THEO DUTRA
FO;94242;EMEF - ANTONIO PRUDENTE, PROF.
FO;94251;EMEF - SEBASTIAO NOGUEIRA DE LIMA, DES.
FO;94269;EMEF - CASTRO ALVES
FO;94277;EMEF - JOAO AMOS COMENIUS
FO;94293;EMEF - OSVALDO QUIRINO SIMOES
FO;94307;EMEF - FREDERICO GUSTAVO DOS SANTOS, TTE. AVIADOR
FO;94315;EMEF - PEDRO AMERICO
FO;94323;EMEF - ELIAS DE SIQUEIRA CAVALCANTI, DR.
FO;94331;EMEF - HUMBERTO DANTAS
FO;94340;EMEF - AROLDO DE AZEVEDO, PROF.
FO;94358;EMEF - ANGELINA MAFFEI VITA, DA.
FO;94366;EMEF - GARCIA DAVILA, CTE.
FO;94374;CEU EMEF - TEOTONIO VILELA, SEN.
FO;94382;EMEF - CECILIA MORAES DE VASCONCELOS, PROFA.
FO;94692;EMEF - MARCILIO DIAS
FO;99783;EMEF - GERALDO SESSO JUNIOR
FO;200182;CIEJA - ROSE MARY FRASSON, PROFA.
G;8834;EMEF - IDEMIA DE GODOY, PROFA.
G;9148;EMEF - ALEXANDRE VANNUCHI LEME
G;9156;EMEF - LUIS CARLOS PRESTES, SEN.
G;10413;EMEF - QUIRINO CARNEIRO RENNO, PROF.
G;12157;EMEF - ELIAS SHAMMASS
G;13510;EMEF - OLINDA MENEZES SERRA VIDAL, PROFA.
G;13528;EMEF - ANNA LAMBERGA ZEGLIO, VER.
G;14699;EMEF - ANTONIO DAVILA, PROF.
G;15024;EMEF - CAIO SERGIO POMPEU DE TOLEDO, DEP.
G;16527;EMEF - CLAUDIA BARTOLOMAZI, PROFA.
G;17973;EMEF - MAILSON DELANE, PROF.
G;19208;EMEF - LUIZ ROBERTO MEGA, PROF.
G;19264;CEU EMEF - INACIO MONTEIRO
G;19265;CEU EMEF - JAMBEIRO
G;19333;CEU EMEF - AGUA AZUL
G;19369;CEU EMEF - LAJEADO
G;19437;EMEF - DIAS GOMES
G;19443;EMEF - MEIRE DE JESUS RIBEIRO,PROF.
G;19447;EMEF - JOEL FERNANDES DE SOUZA
G;19455;EMEF - CELIA REGINA ANDERY BRAGA, PROF
G;19456;EMEF - HELINA COUTINHO LOURENCO ALVES, PROFESSORA
G;19457;EMEF - MARIA APARECIDA MAGNANELLI FERNANDES, PROFA
G;19476;EMEF - MARIA APARECIDA DO NASCIMENTO, PROFA.
G;19722;EMEF - CAMILO CASTELO BRANCO
G;19723;EMEF - GIORGIO GAGLIANI CAPUTO, PE.
G;93513;EMEF - JOAO DE LIMA PAIVA, PROF.
G;93521;EMEF - VINTE E CINCO DE JANEIRO
G;93530;EMEF - JOANA ANGELICA DE JESUS, MADRE
G;93548;EMEF - SATURNINO PEREIRA
G;93637;EMEFM - OSWALDO ARANHA BANDEIRA DE MELLO
G;93645;EMEF - MAURICIO GOULART
G;93653;EMEF - VLADIMIR HERZOG
G;93785;EMEF - JOAO RIBEIRO DE BARROS
G;93815;EMEF - ALEXANDRE DE GUSMAO
G;97055;EMEF - JUSCELINO KUBITSCHEK DE OLIVEIRA, PRES.
G;97063;EMEF - ANTONIO PEREIRA IGNACIO
G;97705;EMEF - AURELIANO LEITE
G;97721;EMEF - JOSE AUGUSTO CESAR SALGADO, DR.
G;200093;CIEJA - ROSA KAZUE INAKAKE DE SOUZA, PROFA
IP;9971;EMEF - LUIZ GONZAGA DO NASCIMENTO JR. - GONZAGUINHA
IP;11533;EMEF - FRANCISCO DA SILVEIRA BUENO, PROF.
IP;17981;EMEF - PERICLES EUGENIO DA SILVA RAMOS
IP;19266;CEU EMEF - MENINOS
IP;19385;CEU EMEF - MARA CRISTINA TARTAGLIA SENA, PROFA.
IP;19427;EMEF - HERCILIA DE CAMPOS COSTA
IP;19480;EMEF - ABRAO HUCK, DR.
IP;19569;EMEF - ROBERTO PLINIO COLACIOPPO, PROF.
IP;19724;EMEF - ARTUR SABOIA
IP;19738;EMEF - DEODORO, MAL.
IP;91812;EMEBS - HELEN KELLER
IP;94617;EMEF - FARIA LIMA, BRIG.
IP;94625;EMEF - CAXIAS, DUQUE DE
IP;94633;EMEF - CELSO LEITE RIBEIRO FILHO
IP;94960;EMEF - JOSE MARIA LISBOA
IP;94978;EMEF - EURICO GASPAR DUTRA, MAL.
IP;94986;EMEF - SYLVIA MARTIN PIRES, PROFA.
IP;94994;EMEF - OLAVO FONTOURA
IP;95001;EMEF - JOAQUIM NABUCO
IP;95010;EMEF - CASSIANO RICARDO
IP;95028;EMEF - JOSE DO PATROCINIO
IP;95036;EMEF - LEAO MACHADO, PROF.
IP;95044;CEU EMEF - CAMPOS SALLES, PRES.
IP;95052;EMEF - ANTONIO DE ALCANTARA MACHADO
IP;95061;EMEF - FRANCISCO MEIRELLES, DES.
IP;95290;EMEF - JOAO CARLOS DA SILVA BORGES, PROF.
IP;95303;EMEF - MANOEL DE PAIVA, PE
IP;95311;EMEF - JEAN MERMOZ
IP;95320;EMEF - IRINEU MARINHO
IP;95338;EMEF - RUTH LOPES ANDRADE, PROFA.
IP;95346;EMEF - QUEIROZ FILHO, PROF.
IP;95354;EMEF - OSORIO, GEN.
IP;95371;EMEF - CLEOMENES CAMPOS
IP;95389;EMEF - AUREA RIBEIRO XAVIER LOPES, PROFA.
IP;95397;EMEF - MARLENE RONDELLI, PROFA.
IP;95401;EMEF - PRUDENTE DE MORAIS, PRES.
IP;95419;EMEF - MASCARENHAS DE MORAES, MAL.
IP;95427;EMEF - ALVARES DE AZEVEDO
IP;95435;EMEF - ALTINO ARANTES
IP;200085;CIEJA - PAULO EMILIO VANZOLINI,CIEJA
IP;200166;CIEJA - CLOVIS CAITANO MIQUELAZZO - IPIRANGA
IQ;8842;EMEF - SEBASTIAO FRANCISCO, O NEGRO
IQ;10103;EMEF - FRANCISCO ALVES MENDES FILHO - CHICO MENDES
IQ;15130;EMEF - JULIO CESAR DE MELO E SOUSA-MALBA TAHAN, PROF
IQ;17523;EMEF - CLOTILDE ROSA HENRIQUES ELIAS, PROFA.
IQ;19143;EMEF - JOSE QUERINO RIBEIRO
IQ;19227;CEU EMEF - CONCEICAO APARECIDA DE JESUS, PROFA
IQ;19261;CEU EMEF - PAULO GOMES CARDIM, PROF. DR.
IQ;19386;CEU EMEF - MARIA APARECIDA DE SOUZA CAMPOS, PROFA
IQ;19397;EMEF - GILMAR TACCOLA , PROF
IQ;19398;EMEF - AGUAS DE MARCO
IQ;19691;EMEF - MARIO COVAS, GOV.
IQ;19725;EMEF - LINA DA COSTA COUTO, PROFA.
IQ;19739;EMEF - A HEBRAICA
IQ;93432;EMEF - CORREIA DE MELLO, BRIG.
IQ;93441;EMEF - CARLOS CHAGAS
IQ;93459;EMEF - EDUARDO PRADO
IQ;93467;EMEF - DANYLO JOSE FERNANDES
IQ;93475;EMEF - AYRES MARTINS TORRES
IQ;93483;EMEF - HAROLDO VELOSO, BRIG.
IQ;93491;EMEF - ARTUR NEIVA
IQ;93505;EMEF - BENEDITO CALIXTO
IQ;93629;EMEF - AURELIO ARROBAS MARTINS, PROF.
IQ;93718;EMEF - ANTONIO DUARTE DE ALMEIDA, PROF.
IQ;94064;EMEF - 8 DE MAIO
IQ;95117;EMEF - KENNEDY, PRES.
IQ;95125;EMEF - BARTOLOMEU LOURENCO DE GUSMAO
IQ;95133;EMEF - JOAO NAOKI SUMITA, DR.
IQ;95141;EMEF - VICENTINA RIBEIRO DA LUZ
IQ;95150;EMEF - ROQUETTE PINTO
IQ;95184;EMEF - SERGIO MILLIET
IQ;95192;EMEF - GUIMARAES ROSA
IQ;99678;EMEF - MALLET, MAL.
IQ;200077;CIEJA - CENTRO INT ED JOVENS E ADULTOS - ITAQUERA
JT;302;EMEF - HELIO FRANCO CHAVES, CEL.
JT;337;EMEBS - LUCIE BRAY, ME
JT;17442;EMEFM - ANTONIO SAMPAIO, VER.
JT;19046;EMEF - CELIA REGINA LEKEVICIUS CONSOLIN, PROFA.
JT;19337;CEU EMEF - JACANA
JT;19401;EMEF - JARDIM FONTALIS
JT;19488;EMEF - PAULO CARNEIRO THOMAZ ALVES, GAL.
JT;19631;EMEF - NILCE CRUZ FIGUEIREDO, PROFA.
JT;19726;EMEF - MARIA PAULA MARCONDES DOMINGUES, PROFA.
